S_No,State,District,Block_Talu,Village,Latitude,Longitude,Elevation_,Aquifer_11,Aquifer_12,AquiferCod
113,Tamil Nadu,Krishnagiri,Bergur,Chindagampalli EW,12.36,78.2,520.0,10.8,11,BG01
114,Tamil Nadu,Krishnagiri,Bergur,Chindagampalli OW,12.36,78.2,525.0,10.7,11,BG01
115,Tamil Nadu,Krishnagiri,Sulagiri,Doripalli,12.72,77.97,759.0,8.3,8,BG01
116,Tamil Nadu,Krishnagiri,Kelamangalam,Geddahalli,12.42,77.8533,877.0,12.0,12,CK01
117,Tamil Nadu,Krishnagiri,Shoolagiri,Guliyam,12.59,78.02,541.0,41.0,41,BG01
118,Tamil Nadu,Krishnagiri,Sulagiri,Guliyam,12.59,78.02,688.0,5.3,5,BG01
119,Tamil Nadu,Krishnagiri,Veppanapalli,Kuppachiparai,12.62,78.13,533.0,5.3,5,GN03
120,Tamil Nadu,Krishnagiri,Veppanapalli,Kuppachiparai,12.62,78.13,533.0,12.1,12,GN03
121,Tamil Nadu,Krishnagiri,Kelamangalam,Maniyambadi,12.45,77.785,846.0,4.9,5,BG01
122,Tamil Nadu,Krishnagiri,Kelamangalam,Mugulur,12.5444,78.0197,725.0,5.3,5,BG01
123,Tamil Nadu,Krishnagiri,Kelamangalam,Nagamangalam,12.5647,77.9417,755.0,8.3,8,BG01
124,Tamil Nadu,Krishnagiri,Sulagiri,Ramandoddi,12.78,78.07,765.0,6.9,7,BG01
125,Tamil Nadu,Krishnagiri,krishnagiri,Ramapuram,12.56,78.18,510.0,5.3,5,BG01
126,Tamil Nadu,Krishnagiri,Uthankarai,Reddipatti,11.6808,78.1106,291.0,7.0,7,GN03
127,Tamil Nadu,Krishnagiri,Bargur,Surankottai,12.54,78.26,517.0,5.3,5,BG01
128,Tamil Nadu,Krishnagiri,Veppanapalli,Thottakanavi,12.7,78.2,584.0,5.3,5,GN03
129,Tamil Nadu,Krishnagiri,Veppanapalli,Thottakanavi,12.7,78.2,584.0,5.3,5,GN03
130,Tamil Nadu,Madurai,Periyur,Highways Dept campus Periyar,9.7444,77.7922,241.0,8.0,8,GN03
131,Tamil Nadu,Madurai,Madurai East,K Pudur,9.9422,78.1392,187.0,29.0,29,GN03
132,Tamil Nadu,Madurai,Kallanthiri,Kallantheri,10.0385,78.1996,176.0,6.0,6,GN03
133,Tamil Nadu,Madurai,Karungalakudi EW,Karugalagudi EW,10.1597,78.3604,163.0,6.0,6,GN03
134,Tamil Nadu,Madurai,Karungalakudi OW,Karugalagudi OW,10.1597,78.3604,163.0,6.0,6,GN03
135,Tamil Nadu,Madurai,Keelavalavu,Keelavalavu,10.0714,78.4218,125.0,10.0,10,GN03
136,Tamil Nadu,Madurai,Thirumangalam,Kilanari,9.9256,78.0636,146.0,25.0,25,GN03
137,Tamil Nadu,Madurai,Usilampatti,Kolathupatti,10.02,77.8072,225.0,12.0,12,GN03
138,Tamil Nadu,Madurai,Melur,Kottainatham,9.9889,78.3941,131.0,15.0,15,GN03
139,Tamil Nadu,Madurai,Chellampatti,Kuppanpatti EW,9.9503,77.8442,181.0,19.0,19,GN03
140,Tamil Nadu,Madurai,Chellampatti,Kuppanpatti OW,9.9503,77.8442,181.0,13.0,13,GN03
141,Tamil Nadu,Madurai,Melur,Navinpatti,10.0403,78.3646,158.0,12.0,12,GN03
142,Tamil Nadu,Madurai,Melur,Sarguvilayapatti,10.0389,78.4217,143.0,12.0,12,GN03
143,Tamil Nadu,Madurai,Vadipatti,T Andipatti EW,10.0639,77.9808,187.0,10.0,10,GN03
144,Tamil Nadu,Madurai,Vadipatti,T Andipatti OW,10.0639,77.9808,187.0,15.0,15,GN03
145,Tamil Nadu,Madurai,Thirumangalam,Thirumangalam,9.8244,77.9869,127.0,13.0,13,GN03
146,Tamil Nadu,Madurai,Thirumangalam,Thirumangalam Bus depot,9.8269,77.9904,128.0,22.0,22,GN03
147,Tamil Nadu,Madurai,Usilampatti,Usilampatti EW (Bus Depot),9.9608,77.7931,209.0,15.0,15,GN03
148,Tamil Nadu,Madurai,Usilampatti,Usilampatti EW,9.9608,77.7931,211.0,14.0,14,GN03
149,Tamil Nadu,Madurai,Usilampatti,Usilampatti OW,9.960833,77.79583,211.0,12.0,12,GN03
150,Tamil Nadu,Madurai,Usilampatti,Usilampatti,10.01167,78.47944,107.0,18.0,18,GN03
151,Tamil Nadu,Madurai,Vadipatti,Shlavandan (Bus Depo),10.0228,77.9636,168.0,13.0,13,GN03
152,Tamil Nadu,Madurai,Tirumangalam,Ettunali,9.7872,78.033,110.0,19.0,19,GN03
153,Tamil Nadu,Madurai,T-Kallupatti,Kandaneri EW,9.7098,77.8237,148.0,9.0,9,GN03
154,Tamil Nadu,Madurai,Thirumangalam,Kappalur EW,9.8517,78.0156,139.0,12.0,12,KH01
155,Tamil Nadu,Madurai,T-Kallupatti,Kavadi Nayakanpatti EW,9.6666,77.7884,136.0,12.0,12,GN03
156,Tamil Nadu,Madurai,Kallugudi,Kurayur,9.6918,78.0176,110.0,11.0,11,GN03
157,Tamil Nadu,Madurai,T. Kallupatti,M.Subalapuram,9.7232,77.8541,145.0,6.5,7,CK01
158,Tamil Nadu,Madurai,Tirumangalam,Muthukrishnapuram EW,9.8891,77.9289,144.0,8.0,8,GN03
159,Tamil Nadu,Madurai,Selampatti,Pudupatti Kvilangulam,9.9343,77.9286,156.0,18.3,18,KH01
160,Tamil Nadu,Madurai,T-Kallupatti,S. Keelapatti EW,9.7029,77.7574,155.0,21.0,21,GN03
161,Tamil Nadu,Madurai,Kallugudi,Sivarakottai,9.7439,77.9827,115.0,12.0,12,GN03
162,Tamil Nadu,Madurai,Kallugudi,Thoobalulam Pudur,9.7522,78.0351,115.0,15.0,15,GN03
163,Tamil Nadu,Madurai,Kallugudi,Vadakampatti EW,9.7121,77.9553,116.0,23.0,23,GN03
164,Tamil Nadu,Madurai,Kallugudi,Vadakampatti OW,9.7121,77.9553,116.0,24.0,24,GN03
165,Tamil Nadu,Madurai,T-Kallupatti,Vaiyur EW,9.6832,77.8539,127.0,19.0,19,GN03
166,Tamil Nadu,Madurai,Thirumangalam,VIKKIRAMANGALAM EW,10.0,77.9292,189.0,24.0,24,KH01
167,Tamil Nadu,Madurai,Kallikudi,VILLOORU,9.7071,77.914,132.0,18.0,18,GN03
168,Tamil Nadu,Madurai,Kallikudi,Agathapatti,9.701,77.9605,115.0,8.0,8,GN03
169,Tamil Nadu,Madurai,Chellampatti,Karumathur,9.934,77.928,155.24,18.0,18,GN03
170,Tamil Nadu,Madurai,Vadipatti,Solavandan,10.022,77.963,168.0,13.0,13,GN03
171,Tamil Nadu,Madurai,Thirumangalam,Checkanurani,9.94,77.96,165.0,11.0,11,CK01
172,Tamil Nadu,Madurai,Thirumangalam,"Govt Arts College, Madurai",9.938,78.138,135.0,6.0,6,CK01
173,Tamil Nadu,Madurai,T Kallupatti,Kadeneri,9.708,77.81,148.0,9.0,9,GN03
174,Tamil Nadu,Madurai,Thirumangalam,Madurai Kamaraj University,9.943,78.015,172.0,6.0,6,CK01
175,Tamil Nadu,Madurai,Kottampatti,Manapatcheri,10.214,78.345,186.0,25.0,25,GN03
176,Tamil Nadu,Madurai,Melur,Melur Bus depot,10.03,78.335,152.0,18.0,18,GN03
177,Tamil Nadu,Madurai,Thiruparankundram,Nilayur,9.946,78.148,131.0,15.0,15,GN03
178,Tamil Nadu,Madurai,T Kallupatti,Puliyampattisalai,9.7116,77.917,126.0,18.0,18,GN03
179,Tamil Nadu,Madurai,Kallikudi,T Pudur,9.7522,77.917,115.246,15.0,15,GN03
180,Tamil Nadu,Madurai,T Kallupatti,T Kallupatti,9.726,77.85,146.0,25.0,25,GN03
181,Tamil Nadu,Madurai,Usillampatti,Kavulpatti,10.045,77.87,223.0,5.0,5,GN03
182,Tamil Nadu,Namakkal,Thiruchengodu,Andivalasu EW,11.2833,77.8739,164.0,5.5,6,GN03
183,Tamil Nadu,Namakkal,Thiruchengodu,Andivalasu OW,11.28,77.87,163.0,6.0,6,GN03
184,Tamil Nadu,Namakkal,Kabilarmalai,Kabilarmalai,11.1444,77.9481,208.0,11.2,11,GN03
185,Tamil Nadu,Namakkal,Thiruchengodu,Manpachipalli,11.2344,77.885,153.0,8.5,9,IN02
186,Tamil Nadu,Namakkal,Paramathi,Pillur,11.197764,78.020776,143.0,7.5,8,CK01
187,Tamil Nadu,Namakkal,Thiruchengodu,Vattur,11.4119,77.96,233.0,18.0,18,GN03
188,Tamil Nadu,Namakkal,Paramathi,Veeranampalayam OW,11.14,77.99,154.0,6.0,6,GN03
189,Tamil Nadu,Namakkal,Paramathi,Veeranampalayam EW,11.1325,77.9892,145.0,3.35,3,GN03
190,Tamil Nadu,Perambalur,Alathur,Chetikulam,11.1342,78.7706,135.0,13.0,13,GN03
191,Tamil Nadu,Perambalur,Alathur,Karai EW,11.1331,78.8719,121.0,10.8,11,GN03
192,Tamil Nadu,Perambalur,Alathur,Nakkasalem,11.1631,78.7192,145.0,18.0,18,GN03
193,Tamil Nadu,Perambalur,Veppanthatai,Neikuppai,11.3597,78.8708,118.0,12.0,12,GN03
194,Tamil Nadu,Perambalur,Perambalur,Perambalur EW,11.2372,78.865,132.0,13.0,13,GN03
195,Tamil Nadu,Perambalur,Perambalur,Siruvachur EW,11.1914,78.8633,129.0,21.0,21,GN03
196,Tamil Nadu,Perambalur,Veppanthattai,Valikandapuram,11.3194,78.9208,113.0,6.3,6,GN03
197,Tamil Nadu,Perambalur,Veppanthatai,Vengalam EW,11.3739,78.7842,145.0,7.8,8,GN03
198,Tamil Nadu,Perambalur,Perambalur,Arumandal,11.2644,78.9355,115.0,5.5,6,GN03
199,Tamil Nadu,Sivaganga,Sivaganga,Alagchipatti,9.9594,78.4399,119.0,29.0,29,GN03
200,Tamil Nadu,Sivaganga,Sivaganga,Alkamanagari,10.0064,78.4658,112.0,29.0,29,GN03
201,Tamil Nadu,Sivaganga,Sivaganga,Chokkaligapurm,9.9934,78.5328,101.0,29.8,30,GN03
202,Tamil Nadu,Sivaganga,Sivaganga,Kalaradinipatti,9.9766,78.4584,116.0,23.55,24,GN03
203,Tamil Nadu,Sivaganga,Madagupatti,Keelpoongudi,9.9617,78.4844,103.0,23.4,23,GN03
204,Tamil Nadu,Sivaganga,Sivaganga,KKV Solapuram,9.898023,78.500896,105.0,48.0,48,GN03
205,Tamil Nadu,Sivaganga,Sivaganga,Malampatti,9.9542,78.417,127.0,27.0,27,GN03
206,Tamil Nadu,Sivaganga,Manamadurai,Manamadurai Travellers Bangalow EW,9.698705,78.436804,77.0,21.0,21,GN03
207,Tamil Nadu,Sivaganga,Kalaiarkovil,Sembanur,10.000953,78.627905,83.0,23.5,24,GN03
208,Tamil Nadu,Sivaganga,Sivaganga,Semuliyam Pattinam,9.9411,78.4901,107.0,19.0,19,GN03
209,Tamil Nadu,Sivaganga,Sivagangai,Sivagangai Travellers Bungalow OW,9.8575,78.4858,104.0,41.4,41,GN03
210,Tamil Nadu,Sivaganga,Sivaganga,Thirumalai,9.9913,78.4704,106.0,14.05,14,GN03
211,Tamil Nadu,Sivaganga,Tirupattur,Thiruputhur OW,10.1096,78.591,99.0,41.6,42,GN03
212,Tamil Nadu,Sivaganga,Tirupattur,Thiruputhur EW,10.1096,78.5911,100.0,11.4,11,GN03
213,Tamil Nadu,Sivaganga,Sivaganga,Veerapatti,9.9778,78.4752,106.0,23.7,24,GN03
214,Tamil Nadu,Sivaganga,Karaikudi,Allagappa Arts College,10.082974,78.782415,96.0,10.0,10,ST04
215,Tamil Nadu,Sivaganga,Karaikudi,Allagappa Arts College,10.082974,78.782415,100.0,12.0,12,ST04
216,Tamil Nadu,Sivaganga,Singampunari,Eriyur EW,10.0471,78.514267,107.0,11.4,11,GN03
217,Tamil Nadu,Sivaganga,Singampunari,Eriyur OW,10.0471,78.514267,107.0,5.4,5,GN03
218,Tamil Nadu,Sivaganga,Singampunari,Kalapur EW,10.170164,78.455009,98.0,17.4,17,GN03
219,Tamil Nadu,Sivaganga,Tirupathur,Kuringi Nagar,10.1031,78.5786,106.0,23.45,24,GN03
220,Tamil Nadu,Sivaganga,Tirupathur,Malampatti,9.941808,78.406343,131.0,6.3,0,CK01
221,Tamil Nadu,Sivaganga,Singampunari,MallakottaiEW,10.054729,78.46466,132.0,16.7,17,GN03
222,Tamil Nadu,Sivaganga,Tirupathur,Nedumaram,10.1428,78.6321,101.0,18.0,18,CK01
223,Tamil Nadu,Sivaganga,Okkur,Okkur,9.95129,78.5228,96.0,30.0,30,CK01
224,Tamil Nadu,Sivaganga,Okkur,Perumalpatti,9.9431,78.4676,104.0,36.0,36,GN03
225,Tamil Nadu,Sivaganga,Tirupathur,Pulankuruchi,10.101836,78.554842,159.0,5.4,5,GN03
226,Tamil Nadu,Sivaganga,Singampunari,S. V. MANGALAM EW,10.1752,78.473,144.0,29.4,29,GN03
227,Tamil Nadu,Sivaganga,Singampunari,Singampunari,10.1894,78.4031,172.0,17.4,17,GN03
228,Tamil Nadu,Sivaganga,Tirupathur,SEVUR,10.257035,78.591066,145.0,24.0,24,GN03
229,Tamil Nadu,Sivaganga,Madagupatti,THACHANPUTHUPATTI,9.9892,78.5665,95.0,36.9,37,GN03
230,Tamil Nadu,Sivaganga,Tirupathur,VADDAKU ILAYATHANKUDI,10.2008,78.6574,130.0,30.0,30,GN03
231,Tamil Nadu,Sivaganga,Tirupathur,VAIYAKALATHUR,10.1843,78.5987,125.0,22.0,22,CK01
232,Tamil Nadu,Sivaganga,Tirupathur,VANJINIPATTI,10.1719,78.5459,123.0,24.0,24,GN03
233,Tamil Nadu,Theni,Cumbam,CUMBAM,9.748204,77.290734,406.0,33.6,34,CK01
234,Tamil Nadu,Theni,Theni,GOVT. ITI CAMPUS BODI,9.944886,77.434444,347.0,23.5,24,CK01
235,Tamil Nadu,Theni,Andipatti,JAKKAMPATTI EW,9.8244,77.9869,131.0,16.5,17,CK01
236,Tamil Nadu,Theni,Andipatti,JAKKAMPATTI OW,9.8244,77.9869,131.0,16.8,17,CK01
237,Tamil Nadu,Theni,Andipatti,K. Villaku EW,10.0039,77.5529,299.0,22.1,22,CK01
238,Tamil Nadu,Theni,Andipatti,K. Villaku OW,10.0039,77.5529,299.0,6.0,6,CK01
239,Tamil Nadu,Theni,Chinnamanur,MAKEYANKOTTAI,9.8509,77.3546,376.0,11.5,12,CK01
240,Tamil Nadu,Theni,Chinnamanur,Muthyanchettipatti (KOMBAI),9.9163,77.284,416.0,30.0,30,CK01
241,Tamil Nadu,Theni,Andipatti,RENGA SAMUDRAM,10.0218,77.5797,283.0,17.0,17,CK01
242,Tamil Nadu,Theni,Chinnamanur,RMC CHINNAMANUR,9.8372,77.3938,386.0,31.4,31,GN03
